Membership No  Date Joined  Active  
    77827      2018-4-25    no    
    40624      2017-7-11    no    
    26860      2019-3-15    no    
    66269      2018-4-13    no    
    76224      2018-3-11    no    
    36841      2019-3-11    no    
    97579      2016-8-10    no    
    55052      2016-11-9    no    
    40603      2019-9-21    no    
    96665      2016-7-8     no    
    87184      2017-4-18    no    
    47315      2019-10-8    no    
    58376      2017-6-8     no    
    82107      2019-9-19    no    
